,Clone Group ID,Source Folder,Package,Class,Method,Method Signature,Start Line,End Line,Start Offset,End Offset,#PDG Nodes,#Statements,Line Coverage (%),Clone Group Size,Clone Group Info,Connected,Clone Pair Location,#Refactorable Pairs,Details
4796,11056,tests,org.jfree.chart.plot.junit,CombinedRangeXYPlotTests,createPlot,()QCombinedRangeXYPlot;,286,299,9105,9722,,,,2.0,,,Clones are in different files,,
4797,11056,tests,org.jfree.chart.plot.junit,CombinedDomainXYPlotTests,createPlot,()QCombinedDomainXYPlot;,294,307,9385,10009,,,,,,,,,
4811,11102,tests,org.jfree.data.xy.junit,MatrixSeriesTests,testEquals,()V,93,98,2820,2987,,,,2.0,Subclone,11103.0,Clones are within the same method,,
4812,11102,tests,org.jfree.data.xy.junit,MatrixSeriesTests,testEquals,()V,103,108,3154,3323,,,,,,,,,
4813,11103,tests,org.jfree.data.xy.junit,MatrixSeriesTests,testEquals,()V,98,108,2986,3323,,,,2.0,,,Clones are within the same method,,
4814,11103,tests,org.jfree.data.xy.junit,MatrixSeriesTests,testEquals,()V,93,103,2820,3155,,,,,,,,,
4843,11197,tests,org.jfree.data.junit,KeyedObjects2DTests,testGetValueByKey,()V,224,249,6655,7208,,,,2.0,,,Clones are within the same method,,
4844,11197,tests,org.jfree.data.junit,KeyedObjects2DTests,testGetValueByKey,()V,215,240,6459,7020,,,,,,,,,
4845,11205,tests,org.jfree.chart.junit,JFreeChartTests,testAddSubtitle,()V,489,501,16338,16634,,,,2.0,,,Clones are within the same method,,
4846,11205,tests,org.jfree.chart.junit,JFreeChartTests,testAddSubtitle,()V,498,510,16538,16837,,,,,,,,,
4859,11229,tests,org.jfree.data.xy.junit,XYIntervalSeriesTests,testIndexOf2,()V,197,200,6055,6260,,,,2.0,,,Clones are within the same file,,
4860,11229,tests,org.jfree.data.xy.junit,XYIntervalSeriesTests,testAdd,()V,247,250,7925,8154,,,,,,,,,
4940,11480,tests,org.jfree.chart.plot.junit,CategoryPlotTests,testSerialization4,()V,641,654,23599,24127,,,,2.0,,,Clones are in different files,,
4941,11480,tests,org.jfree.chart.plot.junit,XYPlotTests,testSerialization4,()V,687,700,24650,25161,,,,,,,,,
4944,11490,tests,org.jfree.chart.plot.junit,XYPlotTests,test1654215,()V,950,968,35005,35750,,,,2.0,Subclone,665.0,Clones are in different files,,
4945,11490,tests,org.jfree.chart.plot.junit,CategoryPlotTests,test1654215,()V,807,825,30022,30774,,,,,,,,,
4981,11681,tests,org.jfree.data.statistics.junit,SimpleHistogramBinTests,testEquals,()V,147,152,5052,5255,,,,2.0,Subclone,11683.0,Clones are within the same method,,
4982,11681,tests,org.jfree.data.statistics.junit,SimpleHistogramBinTests,testEquals,()V,132,137,4472,4671,,,,,,,,,
4983,11682,tests,org.jfree.data.statistics.junit,SimpleHistogramBinTests,testEquals,()V,132,142,4472,4861,,,,2.0,,,Clones are within the same method,,
4984,11682,tests,org.jfree.data.statistics.junit,SimpleHistogramBinTests,testEquals,()V,142,152,4860,5255,,,,,,,,,
